"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.121752300E-2,8.437092781E0,2.347358942E0,4.359723091E0
6.002674100E-2,8.490931511E0,2.435893536E0,4.389633179E0
7.883804400E-2,8.453842163E0,2.508874655E0,4.423132420E0
9.764773100E-2,8.469395638E0,2.532802820E0,4.427918434E0
1.164573660E-1,8.410771370E0,2.579462767E0,4.376472473E0
1.352670540E-1,8.403593063E0,2.547159672E0,4.409972191E0
1.540767410E-1,8.444271088E0,2.514856577E0,4.340580463E0
1.728864290E-1,8.469395638E0,2.471785784E0,4.205385685E0
1.916960640E-1,8.530412674E0,2.489732027E0,4.241278172E0
2.105057520E-1,8.595019341E0,2.434697151E0,4.165904045E0
2.293154390E-1,8.487341881E0,2.414358139E0,4.126422882E0
2.481250750E-1,8.472985268E0,2.402393818E0,4.182653904E0
2.669347620E-1,8.550751686E0,2.483749866E0,4.262813568E0
2.857444500E-1,8.543573380E0,2.611765862E0,4.302295208E0
3.045540850E-1,8.531609535E0,2.699103832E0,4.482953072E0
3.233637730E-1,8.639286041E0,2.851048231E0,4.712664127E0
3.421734600E-1,8.651249886E0,2.940778971E0,4.694717884E0
3.609830960E-1,8.520841599E0,3.315255880E0,4.723432064E0
3.797927830E-1,9.332008362E0,3.451646566E0,4.292723656E0
3.986024710E-1,8.953942299E0,3.365504980E0,3.046063185E0
4.174121060E-1,8.197810173E0,3.121437073E0,2.971885681E0
4.362217940E-1,9.034101486E0,2.666800737E0,3.044866800E0
4.550314810E-1,9.074779510E0,2.256431818E0,2.665604353E0
4.738411160E-1,9.102297783E0,2.301895380E0,1.765903115E0
4.926508040E-1,9.608379364E0,1.854437590E0,4.271188378E-1
5.114604910E-1,8.979066849E0,1.621137381E0,8.219345808E-1
5.302701270E-1,8.742177963E0,1.555334687E0,1.176072359E0
5.490798140E-1,8.900103569E0,1.659422517E0,1.403390527E0
5.678895020E-1,9.561718941E0,2.334198475E0,7.345965505E-1
