"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.139573660E-1,2.328855172E-2,-7.681404054E-2,1.695101149E-2
1.327670540E-1,2.603736520E-2,-1.235438585E-1,2.794626169E-2
1.515767410E-1,4.314108938E-2,-1.632489264E-1,2.702999115E-2
1.703864290E-1,4.405735806E-2,-1.449235082E-1,2.092151903E-2
1.891960640E-1,2.328855172E-2,-1.104106456E-1,1.206423342E-2
2.080057520E-1,7.406522986E-3,-6.093201414E-2,-2.596100792E-3
2.268154390E-1,4.657710437E-3,-1.236965694E-2,-1.939439960E-2
2.456250750E-1,1.137703005E-2,-1.756185852E-2,-8.704573847E-3
2.644347620E-1,2.603736520E-2,-3.924693540E-2,1.068982761E-3
2.832444500E-1,3.520007432E-2,-7.406523079E-2,1.023169141E-2
3.020540850E-1,4.863871261E-2,-1.592784226E-1,2.794626169E-2
3.208637730E-1,1.078908965E-1,-3.626905680E-1,4.199574888E-2
3.396734600E-1,2.102078199E-1,-6.690304875E-1,2.702999115E-2
3.584830960E-1,2.908396423E-1,-1.127776742E0,1.450762246E-2
3.772927830E-1,3.531460762E-1,-1.678761005E0,-3.512371797E-3
3.961024710E-1,2.920613587E-1,-2.092609882E0,-9.055810422E-2
4.149121060E-1,1.824142635E-1,-2.122541428E0,-9.116895497E-2
4.337217940E-1,2.044047713E-1,-1.960972428E0,-3.863608837E-2
4.525314810E-1,1.775274873E-1,-1.965553761E0,-7.925742865E-2
4.713411160E-1,7.246175408E-2,-1.442363143E0,-7.773031294E-2
4.901508040E-1,-1.829487532E-1,-5.077667832E-1,-2.458660305E-2
5.089604910E-1,-4.456130862E-1,6.490252167E-2,-2.244863659E-2
5.277701270E-1,-4.227063060E-1,-8.811471611E-2,-2.336490713E-2
5.465798140E-1,-2.024958730E-1,-2.454078794E-1,-2.367033064E-2
5.653895020E-1,8.651123941E-2,-2.008160353E-1,-1.664558798E-2
5.841991370E-1,2.138728946E-1,-5.329642445E-2,-6.001574174E-2
6.030088250E-1,2.419718653E-1,6.612421572E-2,-9.269607067E-2
6.218184600E-1,2.447206825E-1,1.938676536E-1,-7.223268598E-2
6.406281480E-1,2.465532273E-1,1.300341040E-1,-7.742489129E-2
6.594378350E-1,2.612135708E-1,-5.543438718E-2,-6.154286116E-2
6.782474710E-1,2.251735777E-1,-3.019112647E-1,-1.817270555E-2
6.970571580E-1,1.741678268E-1,-5.154023767E-1,3.436015919E-2
7.158668460E-1,1.646996886E-1,-7.566870451E-1,1.409530044E-1
