"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.974562600E-2,-4.468596458E0,-3.722035646E0,7.714460373E0
4.855510500E-2,-4.398007870E0,-3.804588079E0,7.808976650E0
6.736375100E-2,-4.444668293E0,-3.777070522E0,7.905886173E0
8.617520900E-2,-4.432703972E0,-3.789034605E0,7.856832981E0
1.049846360E-1,-4.435096741E0,-3.857230186E0,7.971688747E0
1.237941150E-1,-4.615755081E0,-3.836891174E0,8.014759064E0
1.426035940E-1,-4.553541660E0,-3.769891977E0,7.988438606E0
1.614130740E-1,-4.430311203E0,-3.790230989E0,7.957331657E0
1.802225010E-1,-4.372883320E0,-3.777070522E0,7.902296543E0
1.990319800E-1,-4.462614059E0,-3.803391695E0,7.795815945E0
2.178414590E-1,-4.624129772E0,-3.826123476E0,7.890332699E0
2.366509380E-1,-4.570291042E0,-3.852444410E0,7.954938889E0
2.554603650E-1,-4.506881237E0,-3.781856298E0,7.886743546E0
2.742698440E-1,-4.387240410E0,-3.747160196E0,7.909475327E0
2.930793240E-1,-4.394418716E0,-3.670589924E0,7.908278942E0
3.118888030E-1,-4.429114819E0,-3.646661758E0,7.910671711E0
3.306982300E-1,-4.291527271E0,-3.572484255E0,7.814958572E0
3.495077090E-1,-4.112065792E0,-3.456432343E0,7.802994728E0
3.683171880E-1,-4.114458561E0,-3.332005501E0,7.639086246E0
3.871266150E-1,-4.280759811E0,-3.116651535E0,7.753942013E0
4.059360940E-1,-4.207778454E0,-3.023331404E0,8.117650986E0
4.247455740E-1,-4.272384644E0,-3.023331404E0,7.676175117E0
4.435550530E-1,-4.944767952E0,-3.619144201E0,7.272984505E0
4.623644800E-1,-5.424529076E0,-3.960121393E0,8.243273735E0
4.811739590E-1,-5.656632900E0,-3.769891977E0,7.037291527E0
4.999834380E-1,-5.618347645E0,-3.561716557E0,9.090332985E0
5.187928650E-1,-4.990231514E0,-3.206382275E0,9.018548965E0
5.376023440E-1,-4.703093052E0,-3.787838221E0,8.581858635E0
5.564118240E-1,-4.524827480E0,-3.674179077E0,8.522037506E0
5.752212510E-1,-5.529813290E0,-3.682554007E0,7.490731239E0
5.940307300E-1,-6.003592014E0,-4.335794449E0,7.487142086E0
6.128402090E-1,-6.145965099E0,-4.356133461E0,8.111668587E0
6.316496360E-1,-6.344569206E0,-5.184050083E0,8.303094864E0
6.504591150E-1,-5.444868088E0,-4.644468784E0,8.048258781E0
6.692685940E-1,-6.874579430E0,-3.445664644E0,7.739584923E0
6.880780220E-1,-8.252845764E0,-1.010967612E0,8.495717049E0
7.068875010E-1,-4.374079704E0,-1.886740685E0,6.912864685E0
7.256969800E-1,-4.140779495E0,-3.577269793E0,8.935996056E0
7.445064070E-1,-6.252445698E0,-3.963710785E0,8.888139725E0
7.633158860E-1,-7.008577347E0,-2.455035925E0,7.814958572E0
7.821253130E-1,-5.267798901E0,-1.409372568E0,6.762116909E0
8.009347920E-1,-2.440679073E0,-1.329213023E0,6.545566559E0
8.197442720E-1,9.571290761E-2,-1.320838094E0,7.165307522E0
8.385536990E-1,4.402793646E-1,-1.304088354E0,7.182057381E0
8.573631780E-1,-1.048056364E0,-1.552941918E0,6.997809887E0
8.761726570E-1,-1.878365755E0,-2.268395901E0,6.750152588E0
8.949820840E-1,-2.878565550E0,-3.328416348E0,7.276573658E0
9.137915630E-1,-4.345366001E0,-4.356133461E0,7.988438606E0
9.326010420E-1,-6.148357868E0,-4.621737003E0,9.014959335E0
9.514104690E-1,-6.339783669E0,-3.714857101E0,9.753145218E0
9.702199490E-1,-6.245266914E0,-3.658625841E0,9.066405296E0
9.890293760E-1,-6.859025955E0,-3.955335855E0,8.732605934E0
1.007838855E0,-6.599404812E0,-3.902693748E0,7.235895634E0
