"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.118893760E-1,3.443651274E-2,6.589514762E-2,-1.954711229E-2
1.306988550E-1,4.390464723E-2,6.558972597E-2,-1.527118124E-2
1.495083340E-1,2.863346599E-2,3.016058356E-2,-4.581354558E-3
1.683178130E-1,1.275143679E-2,9.391776286E-3,-1.160609815E-2
1.871272400E-1,5.726693198E-3,-1.298050396E-3,-2.748812735E-2
2.059367190E-1,-2.519744914E-3,1.122431830E-2,-5.650337040E-2
2.247461990E-1,-3.436015919E-3,2.252499200E-2,-4.459185153E-2
2.435556780E-1,1.794363745E-2,-4.963133950E-3,-3.206948191E-2
2.623651050E-1,1.855448633E-2,7.864658721E-3,-2.809897438E-2
2.811745840E-1,8.170082234E-3,6.337540224E-3,-3.695625812E-2
2.999840630E-1,-2.825168660E-3,6.948387716E-3,-5.528167635E-2
3.187934900E-1,-2.023431472E-2,1.030804776E-2,-6.413896382E-2
3.376029690E-1,-3.550549597E-2,1.244601328E-2,-9.712471068E-2
3.564124490E-1,-5.077667907E-2,6.161921844E-2,-1.869192570E-1
3.752219280E-1,-8.192989230E-2,2.436517030E-1,-3.124483824E-1
3.940313550E-1,-1.127776727E-1,4.171323180E-1,-4.254551232E-1
4.128408340E-1,-8.590039611E-2,4.348468781E-1,-5.204418898E-1
4.316503130E-1,9.086352773E-3,4.134672284E-1,-5.830537081E-1
4.504597400E-1,-7.406522986E-3,4.397336841E-1,-5.641174316E-1
4.692692190E-1,1.291178465E-1,2.299076319E-1,-4.685198367E-1
4.880786990E-1,2.150182426E-1,5.734328553E-2,-3.164188862E-1
5.068881260E-1,3.213056624E-1,-1.015533600E-2,-1.172826737E-1
5.256976050E-1,5.616740584E-1,-3.825430945E-2,2.015795931E-2
5.445070840E-1,5.405998230E-1,2.683910131E-1,3.359659761E-2
5.633165110E-1,6.169557571E-1,5.353312492E-1,-1.985253580E-2
5.821259900E-1,5.436540842E-1,5.383855104E-1,1.863084175E-2
6.009354690E-1,4.144598544E-1,4.113292694E-1,2.125748396E-1
6.197448970E-1,3.524588645E-1,1.663795263E-1,4.172086716E-1
6.385543760E-1,3.558185399E-1,-2.603736520E-2,6.740699410E-1
6.573638550E-1,3.304683566E-1,-2.465532273E-1,7.953231335E-1
6.761732820E-1,2.110477239E-1,-2.499128878E-1,9.501729012E-1
6.949827610E-1,1.532463133E-1,-3.372640312E-1,1.385096192E0
7.137922400E-1,-2.040993422E-1,-2.670166194E-1,1.405254126E0
7.326016670E-1,-2.667111754E-1,-8.345700800E-2,1.054016948E0
7.514111470E-1,6.345175952E-2,1.914242655E-1,1.037218690E0
7.702206260E-1,2.141019702E-1,1.230093688E-1,1.431520581E0
7.890300530E-1,1.504974961E-1,-9.048175067E-2,1.724727273E0
8.078395320E-1,4.359922186E-2,-1.485122442E-1,1.579345584E0
8.266490110E-1,7.414158434E-2,1.077381819E-1,1.055544019E0
8.454584380E-1,1.860029846E-1,1.272853017E-1,3.387148082E-1
8.642679170E-1,2.229592502E-1,2.625879645E-1,-2.403683960E-1
8.830773440E-1,1.786728203E-1,4.400390983E-1,-6.835380793E-1
9.018868240E-1,1.422510594E-1,3.655157387E-1,-1.073640466E0
9.206963030E-1,9.827005118E-2,1.676012129E-1,-1.376620650E0
9.395057300E-1,8.788564801E-2,-1.451525837E-1,-1.494819641E0
9.583152090E-1,1.318666488E-1,-4.716504514E-1,-1.467636943E0
9.771246880E-1,7.750124484E-2,-6.460473537E-1,-1.474050760E0
9.959341150E-1,7.627955079E-2,-7.382852435E-1,-1.301791906E0
1.014743594E0,-3.550549597E-2,-1.787491739E-1,-9.933140278E-1
1.033553022E0,-7.948649675E-2,5.031854287E-2,-8.732061386E-1
1.052362501E0,4.504998680E-3,-2.074590027E-1,-7.427902818E-1
1.071171980E0,3.932329267E-2,-7.230141163E-1,-4.801259339E-1
1.089981407E0,-7.001836598E-2,-1.213219047E0,-1.041494608E-1
1.108790886E0,-1.982962936E-1,-1.694337606E0,1.918060333E-1
1.127600313E0,-2.444152534E-1,-1.620730519E0,1.282779276E-1
1.146409792E0,-1.509556323E-1,-1.004003882E0,2.504473738E-2
1.165219272E0,3.107685409E-2,-2.083752751E-1,-4.611896724E-2
1.184028699E0,8.727480471E-2,-1.194969937E-1,-1.359135211E-1
1.202838178E0,-6.665870547E-2,-2.841203213E-1,-7.513421029E-2
1.221647605E0,-2.022667974E-1,-5.046361685E-1,7.971556485E-2
1.240457084E0,-1.750840992E-1,-4.576009512E-1,1.154501289E-1
1.259266511E0,-7.154548168E-2,-2.828986347E-1,-6.719320081E-3
1.278075990E0,-5.230379477E-2,-1.359898746E-1,5.192201585E-3
1.296885417E0,-1.168245357E-2,-1.949366331E-1,8.093725890E-2
1.315694897E0,-2.053973824E-2,-2.636569440E-1,3.848337755E-2
1.334504376E0,-7.368344814E-2,-3.378748894E-1,-2.901524492E-2
1.353313803E0,-2.053210288E-1,-3.699443638E-1,-7.849387079E-2
1.372123282E0,-2.755684555E-1,-3.012240529E-1,-9.101624042E-2
1.390932709E0,-2.245627195E-1,-5.788541436E-1,-4.459185153E-2
1.409742188E0,-3.470376134E-1,-7.483642697E-1,-1.991362125E-1
1.428551615E0,-3.348206580E-1,-4.985277057E-1,-2.776300907E-1
1.447361094E0,-1.036149636E-1,-3.000023663E-1,-1.255291104E-1
1.466170522E0,-1.677539349E-1,-5.144097209E-1,1.007897966E-2
1.484980001E0,-4.010975957E-1,-8.793910146E-1,3.115320951E-2
1.503789428E0,-4.673745036E-1,-1.048595667E0,6.627693027E-2
1.522598907E0,-3.904077411E-1,-9.957574010E-1,1.310267299E-1
1.541408334E0,-3.085542321E-1,-9.310075641E-1,1.301104724E-1
1.560217813E0,-1.280488521E-1,-1.095020056E0,-3.878879920E-2
1.579027240E0,-2.526617050E-1,-7.450045943E-1,-2.400629669E-1
1.597836719E0,-3.372640312E-1,-5.751890540E-1,-2.644968629E-1
1.616646147E0,-3.610870838E-1,-7.404232621E-1,-1.704263836E-1
1.635455626E0,-4.346941710E-1,-8.961892724E-1,-2.382304333E-2
1.654265053E0,-4.255314767E-1,-8.720608354E-1,-8.551862091E-3
1.673074532E0,-3.919348717E-1,-7.404232621E-1,-3.817795217E-2
1.691883959E0,-3.757474124E-1,-7.795174718E-1,-1.072036922E-1
