"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.163000300E-2,1.250249863E0,1.213161111E0,1.011326504E1
3.043870100E-2,1.420140266E0,5.324030519E-1,1.134556866E1
4.924849300E-2,2.032702923E0,2.823530734E-1,1.167099285E1
6.805719100E-2,2.317448616E0,9.571290761E-2,1.127737331E1
8.686583700E-2,1.217946768E0,1.722832322E-1,1.020299530E1
1.056744820E-1,1.623530149E0,6.317051649E-1,9.738788605E0
1.244831800E-1,3.397808075E0,1.018146038E0,8.897710800E0
1.432918260E-1,3.958925009E0,6.388836503E-1,9.087940216E0
1.621005240E-1,3.702893019E0,-2.285145670E-1,9.209974289E0
1.809091700E-1,3.719642878E0,-5.395814776E-1,9.747162819E0
1.997178680E-1,3.251846075E0,-1.794617027E-1,9.920642853E0
2.185265140E-1,3.026920557E0,-5.335994363E-1,9.522237778E0
2.373352120E-1,4.155136585E0,-1.032503009E0,8.956335068E0
2.561438570E-1,4.936393261E0,-1.170090318E0,8.080561638E0
2.749525030E-1,5.119443893E0,-1.546959877E0,7.503891945E0
2.937612010E-1,4.100101471E0,-1.765903115E0,7.682157040E0
3.125698470E-1,2.840280533E0,-1.765903115E0,7.970492363E0
3.313785450E-1,2.985046148E0,-1.777867198E0,8.575876236E0
3.501871910E-1,3.686143398E0,-2.086541414E0,8.798408508E0
3.689958890E-1,4.214957237E0,-2.782852650E0,8.110472679E0
3.878045350E-1,4.999803066E0,-3.596412420E0,6.622136593E0
4.066131800E-1,6.392425537E0,-3.775874138E0,5.185246468E0
4.254218780E-1,6.233303070E0,-3.119044304E0,5.484349728E0
4.442305240E-1,5.783452511E0,-2.366501570E0,6.397211552E0
4.630392220E-1,6.297909260E0,-2.042274237E0,7.422535896E0
4.818478680E-1,8.282755852E0,-1.261017561E0,7.518248558E0
5.006565140E-1,9.646664619E0,-6.089733839E-1,7.262216568E0
5.194652120E-1,9.464810371E0,-1.627119333E-1,6.965506554E0
5.382738570E-1,9.482755661E0,9.332008660E-2,6.031109333E0
5.570825550E-1,1.020897770E1,1.076770201E-2,4.914857864E0
5.758912010E-1,1.091844940E1,-2.117647976E-1,3.580859184E0
5.946998470E-1,9.760323524E0,-8.769695163E-1,1.124626637E0
6.135085450E-1,8.683553696E0,-1.691725612E0,8.733802438E-1
6.323171910E-1,8.745766640E0,-2.313859463E0,1.462014675E0
6.511258890E-1,8.567501068E0,-3.020938635E0,1.775474429E0
6.699345350E-1,7.807780266E0,-3.759124279E0,1.792224169E0
6.887431800E-1,1.011924744E1,-2.829512835E0,1.295713425E0
7.075518780E-1,6.034698486E0,-1.787438512E0,3.036491871E0
7.263605240E-1,1.925025821E0,-2.529213428E0,4.795216560E0
7.451691700E-1,2.695514679E0,-4.124029636E0,4.759324074E0
7.639778680E-1,3.573680639E0,-5.531009674E0,2.693121910E0
7.827865140E-1,2.038684845E0,-6.500102520E0,2.973082066E0
8.015952120E-1,1.747956991E0,-7.361518860E0,3.207578659E0
8.204038570E-1,4.698307037E0,-8.450253487E0,-2.151147604E0
8.392125030E-1,5.777470112E0,-9.369096756E0,-2.234896421E0
8.580212010E-1,5.842076302E0,-8.012366295E0,-2.428714931E-1
8.768298470E-1,5.490331650E0,-8.633303642E0,8.877372146E-1
8.956385450E-1,5.405386448E0,-9.320044518E0,7.477570772E-1
9.144471910E-1,5.933003902E0,-9.159725189E0,6.149554253E-1
9.332558370E-1,6.534798622E0,-9.735198975E0,-1.785045743E0
9.520645350E-1,6.275177479E0,-1.098903847E1,-5.556134224E0
9.708731800E-1,2.888136864E0,-8.549555779E0,-2.670390129E0
9.896818260E-1,9.379864931E-1,-6.787241459E0,5.659025311E-1
1.008490524E0,-4.366901219E-1,-6.519245148E0,8.027920127E-1
1.027299170E0,-6.424728632E-1,-8.014759064E0,-6.293123364E-1
1.046107816E0,-4.594219327E-1,-9.410971642E0,-2.373680115E0
1.064916514E0,-7.298108935E-2,-1.084546852E1,-1.879562140E0
1.083725160E0,-1.088734269E-1,-1.121276665E1,-9.475577474E-1
1.102533805E0,-5.060819983E-1,-1.156451225E1,-3.445664644E-1
1.121342503E0,-1.038485050E0,-1.145085239E1,-1.200000525E0
1.140151149E0,-9.714859724E-1,-1.282911873E1,-1.714457393E0
1.158959795E0,-3.876372576E-1,-1.613360596E1,-2.157129526E0
1.177768493E0,-1.004985452E0,-1.914497375E1,-7.441678643E-1
