"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.436583700E-2,3.609343767E-1,-7.738671303E-1,1.153203249E0
1.031744820E-1,3.734567463E-1,-1.260101557E0,1.391433716E0
1.219831800E-1,3.407764137E-1,-1.674561381E0,1.403650641E0
1.407918260E-1,2.167744190E-1,-1.567968607E0,1.267431736E0
1.596005240E-1,9.521581978E-2,-1.459237695E0,1.270180464E0
1.784091700E-1,-2.634278871E-2,-1.533455729E0,1.330348969E0
1.972178680E-1,-4.802786559E-2,-1.640659332E0,1.405788660E0
2.160265140E-1,1.205659807E-1,-1.377384186E0,1.701744080E0
2.348352120E-1,2.528144121E-1,-7.631772757E-1,2.005335093E0
2.536438570E-1,2.925194800E-1,-3.807105422E-1,2.117425680E0
2.724525030E-1,2.005869746E-1,-6.001574174E-2,1.903934598E0
2.912612010E-1,4.390464723E-2,-2.206685692E-1,1.528568864E0
3.100698470E-1,6.894938648E-2,-8.031877875E-1,1.435109258E0
3.288785450E-1,3.795652092E-1,-1.448547959E0,1.792454958E0
3.476871910E-1,9.488748312E-1,-1.934171438E0,2.298007488E0
3.664958890E-1,1.564608932E0,-2.359015703E0,2.665126562E0
3.853045350E-1,1.890495896E0,-2.776529789E0,2.804705143E0
4.041131800E-1,1.806198955E0,-2.881595612E0,2.828833580E0
4.229218780E-1,1.435720086E0,-2.588083506E0,2.810202837E0
4.417305240E-1,1.147705674E0,-2.494318485E0,2.962303877E0
4.605392220E-1,1.124188066E0,-2.510811329E0,3.218248844E0
4.793478680E-1,1.316604853E0,-2.711169243E0,3.275668383E0
4.981565140E-1,1.556667924E0,-2.651306152E0,2.945199966E0
5.169652120E-1,1.709379673E0,-2.560900688E0,2.550287247E0
5.357738570E-1,1.865451217E0,-2.640921831E0,2.397575378E0
5.545825550E-1,2.103757858E0,-2.875487089E0,2.278154850E0
5.733912010E-1,2.296785593E0,-3.063933611E0,1.929590106E0
5.921998470E-1,2.146211863E0,-2.903891563E0,1.496804833E0
6.110085450E-1,1.734729886E0,-2.475382090E0,1.507800102E0
6.298171910E-1,1.419532657E0,-2.230737925E0,1.702965856E0
6.486258890E-1,1.134572387E0,-2.383449554E0,1.769853592E0
6.674345350E-1,8.129613400E-1,-2.422849178E0,1.841933608E0
6.862431800E-1,4.977641702E-1,-2.903280735E0,1.712739348E0
7.050518780E-1,4.470638335E-1,-2.794549942E0,1.112276554E0
7.238605240E-1,6.382590532E-1,-2.858994246E0,1.445799112E0
7.426691700E-1,1.276899815E0,-2.663523197E0,2.442472696E0
7.614778680E-1,1.713655591E0,-2.610990286E0,3.068591118E0
7.802865140E-1,1.590875387E0,-2.613128185E0,3.653172016E0
7.990952120E-1,1.794287443E0,-2.435371637E0,4.665346146E0
8.179038570E-1,2.232646704E0,-2.118036509E0,5.037733555E0
8.367125030E-1,8.703809977E-1,-9.207758904E-1,4.213624477E0
8.555212010E-1,-2.630461156E-1,-1.337068319E0,3.499543905E0
8.743298470E-1,-6.757497787E-1,-2.245703697E0,3.122040272E0
8.931385450E-1,-5.003602505E-1,-2.593581200E0,2.821503401E0
9.119471910E-1,-1.054475084E-1,-1.743587136E0,2.323357582E0
9.307558370E-1,1.288124174E-1,-2.151709497E-1,1.533150315E0
9.495645350E-1,-5.229616165E-1,3.355078697E-1,8.712972403E-1
9.683731800E-1,-1.932262540E0,2.628170252E-1,8.318976164E-1
