"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.306104200E-2,-3.110669553E-1,4.667200565E0,9.734002113E0
3.187005200E-2,-3.804588020E-1,3.907479286E0,1.003071213E1
5.068015600E-2,-8.685946465E-1,3.577269793E0,9.553344727E0
6.948916700E-2,-1.106680512E0,3.643072367E0,9.186046600E0
8.829812500E-2,-1.039681435E0,3.781856298E0,9.343972206E0
1.071071360E-1,-7.920243144E-1,3.878765583E0,9.750752449E0
1.259160940E-1,-7.657032609E-1,3.699303865E0,9.672985077E0
1.447251040E-1,-8.901300430E-1,3.718446493E0,9.366703987E0
1.635341150E-1,-9.116654396E-1,3.800998688E0,9.298508644E0
1.823430730E-1,-8.985049129E-1,3.724428415E0,9.481559753E0
2.011520840E-1,-9.152546525E-1,3.625126362E0,9.414560318E0
2.199610420E-1,-9.212366939E-1,3.650250912E0,9.352347374E0
2.387700520E-1,-8.769695163E-1,3.657429457E0,9.263813019E0
2.575790630E-1,-8.506484628E-1,3.625126362E0,9.072386742E0
2.763880210E-1,-5.898307562E-1,3.568894863E0,9.170493126E0
2.951970310E-1,-6.269195080E-1,3.385843992E0,9.296115875E0
3.140060420E-1,-4.737788737E-1,3.300898790E0,9.446864128E0
3.328150520E-1,-1.926222295E-1,3.213560820E0,9.534201622E0
3.516240110E-1,-2.548356056E-1,3.236292601E0,9.450452805E0
3.704330210E-1,-1.926222295E-1,3.099901676E0,9.509077072E0
3.892420310E-1,-4.067798331E-2,2.958725214E0,9.687342644E0
4.080510420E-1,-1.483550072E-1,2.874976397E0,9.437292099E0
4.268600000E-1,-3.589233849E-3,2.721835852E0,8.794819832E0
4.456690110E-1,-3.493520916E-1,2.737389088E0,8.355736732E0
4.644780210E-1,-2.380858511E-1,2.512463808E0,9.397810936E0
4.832870310E-1,5.742774606E-1,2.201396942E0,1.007976532E1
5.020960420E-1,9.320043921E-1,2.195414782E0,1.036929703E1
5.209050520E-1,6.735795736E-1,2.398804665E0,9.964909554E0
5.397140630E-1,5.718846321E-1,2.743371248E0,9.376275063E0
5.585230210E-1,4.510470629E-1,2.968296528E0,9.444471359E0
5.773320310E-1,3.098705411E-1,2.675175667E0,9.044869423E0
5.961410420E-1,1.004985452E0,2.423929453E0,1.004985523E1
6.149500520E-1,1.462014675E0,1.690529227E0,9.259027481E0
6.337590630E-1,1.627119422E0,1.391426325E0,9.751948357E0
6.525680730E-1,2.321038008E0,1.435693622E0,9.710074425E0
6.713770840E-1,2.415554523E0,1.183250785E0,9.138189316E0
6.901860940E-1,2.388036966E0,7.776673436E-1,8.727820396E0
