"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.579812500E-2,-3.724641204E-1,-3.180987239E-1,-2.397575416E-2
1.046071360E-1,-2.750339806E-1,-3.715478480E-1,2.924431302E-2
1.234160940E-1,-1.461452097E-1,-3.147390485E-1,-5.039489828E-3
1.422251040E-1,-7.803573459E-2,-2.582356930E-1,-7.040014863E-2
1.610341150E-1,-9.788827598E-2,-2.005106062E-1,-9.910997003E-2
1.798430730E-1,-1.293469071E-1,-1.910424829E-1,-9.788827598E-2
1.986520840E-1,-1.238492802E-1,-2.118112892E-1,-8.383878320E-2
2.174610420E-1,-1.345391124E-1,-2.371614426E-1,-6.245913357E-2
2.362700520E-1,-1.632489264E-1,-2.368560284E-1,-5.085303262E-2
2.550790630E-1,-2.399102598E-1,-2.426590770E-1,-4.871506989E-2
2.738880210E-1,-3.394783735E-1,-2.872509360E-1,-3.222219273E-2
2.926970310E-1,-3.855973184E-1,-3.428380191E-1,-3.405473381E-2
3.115060420E-1,-3.651339412E-1,-4.008685052E-1,-1.847812906E-2
3.303150520E-1,-3.287885487E-1,-3.917058110E-1,-1.542389300E-2
3.491240110E-1,-3.180987239E-1,-3.077143133E-1,-2.000524849E-2
3.679330210E-1,-3.437542915E-1,-2.237228155E-1,3.199312463E-2
3.867420310E-1,-3.489464819E-1,-1.446180940E-1,7.872293890E-2
4.055510420E-1,-3.168770075E-1,-1.653869003E-1,8.880192041E-2
4.243600000E-1,-3.180987239E-1,-3.061871827E-1,1.068219170E-1
4.431690110E-1,-5.468609929E-1,-6.385644674E-1,1.425564736E-1
4.619780210E-1,-7.252284288E-1,-6.089383364E-1,2.329618782E-1
4.807870310E-1,-6.473453641E-1,-4.811949134E-1,2.460950911E-1
4.995960420E-1,-3.816268146E-1,-3.889569938E-1,1.065164879E-1
5.184050520E-1,-1.360662282E-1,-3.816268146E-1,-1.359135192E-2
5.372140630E-1,-1.033858955E-1,-4.356867969E-1,-1.084253844E-2
5.560230210E-1,-3.037438095E-1,-4.873034060E-1,-1.068982761E-3
5.748320310E-1,-7.243121266E-1,-5.597651601E-1,5.428905040E-2
5.936410420E-1,-1.195886254E0,-5.631248355E-1,1.480541080E-1
6.124500520E-1,-1.459772229E0,-9.015341997E-1,2.686964273E-1
6.312590630E-1,-1.633863688E0,-9.131402969E-1,3.933092654E-1
6.500680730E-1,-1.495506763E0,-7.692857385E-1,4.232407808E-1
6.688770840E-1,-1.056613088E0,-5.802285671E-1,3.117611706E-1
6.876860940E-1,-6.088619828E-1,-9.086353332E-2,1.016297117E-1
7.064951040E-1,-2.215848416E-1,5.572454333E-1,-7.986827940E-2
7.253041150E-1,1.806580722E-1,8.266290426E-1,-2.069245130E-1
7.441131250E-1,5.056288242E-1,5.786250830E-1,-2.655658424E-1
7.629221360E-1,7.056813240E-1,2.392994165E-1,-2.295258641E-1
7.817311460E-1,7.249229550E-1,1.815743446E-1,-1.061347127E-1
